designator, library, device, value, package, MANUF, PARTNUM, SUPPLIER, VALSTAT, BOM, SUBST, DESC, DVAL
ANT1, m_misc, TAOGLAS_GP-1575.35, GP.1575.35.3.A.02, TAOGLAS_GP35-A_GPS_PATCH_ANTENNA, Taoglas:GP.1575.35.3.A.02;, GP.1575.35.3.A.02, , , , , , 
BATT+, testpad, TPTP18R, TPTP18R, TP18R, , , , , , , , 
BATT-, testpad, TPTP18R, TPTP18R, TP18R, , , , , , , , 
C1, rcl, C-EUC0603, 1u, C0603, , , , , , , , 
C2, rcl, C-EUC0603, 1u, C0603, , , , , , , , 
C3, rcl, C-EUC0805, 10u, C0805, , , , , , , , 
C4, rcl, C-EUC0603, .1u, C0603, , , , , , , , 
C20, rcl, C-EUC0603, .1u, C0603, , , , , , , , 
C21, rcl, C-EUC0603, .1u, C0603, , , , , , , , 
C22, rcl, C-EUC0603, .1u, C0603, , , , , , , , 
C23, rcl, C-EUC0603, .1u, C0603, , , , , , , , 
C24, rcl, C-EUC0603, 15p, C0603, , , , , , , , 
C25, rcl, C-EUC0603, 15p, C0603, , , , , , , , 
C26, rcl, C-EUC0603, 1u, C0603, , , , , , , , 
C27, rcl, C-EUC0603, .1u, C0603, , , , , , , , 
C30, rcl, C-EUC0603, 1u, C0603, , , , , , , , 
C31, rcl, C-EUC0603, .1u, C0603, , , , , , , , 
C32, rcl, C-EUC0603, 27p, C0603, , , , , , , , 
C33, rcl, C-EUC0603, 27p, C0603, , , , , , , , 
C34, rcl, C-EUC0603, 10u, C0603, , , , , , , , 
C35, rcl, C-EUC0603, .1u, C0603, , , , , , , , 
C36, rcl, C-EUC0805, 10u, C0805, , , , , , , , 
C37, rcl, C-EUC0603, .1u, C0603, , , , , , , , 
C38, rcl, C-EUC0603, .1u, C0603, , , , , , , , 
C39, rcl, C-EUC0603, 1u, C0603, , , , , , , , 
D1, diode, DIODE-MINIMELF, , MINIMELF, , , , , , , , 
GND, testpad, TPTP14R, TPTP14R, TP14R, , , , , , , , 
GPS1, m_module, VINCOTECH-GPS_A1084, A1084B, A1084_GPS, , , , , , , , 
GPX, testpad, TPTP10R, TPTP10R, TP10R, , , , , , , , 
IC1, linear, LMV321M7, LMV321M7, SC70-5L, , LMV301, , , , , , 
IC2, m_vreg, TLV700XX_DCK, TLV70030 DCK, SC70-5_DCK, , TLV70030 DCK, , , , , , 
IC20, xmega, AVR_XMEGA_A4_44A, AVR_XMEGA_A4_44A, TQFP44, , , , , , , , 
IC21, m_ic-signal, TMP20_DCK, TMP20, SC70-5_DCK, , TMP20AIDCK, , , , , , 
IC30, m_ic-comm, MAX3420EECJ, MAX3420E, LQFP-32, , MAX3420EECJ, , , , , , 
IC31, m_ic-signal, MMA7455LLARGEPAD, MMA7455L, LGA-14-LARGEPAD, , MMA7455L, , , , , , 
IC33, m_ic-other, AT26DF081A-SU, AT26DF081A, EIAJ-SOIC8, , , , , , , , 
LED1, m_opto, TOPLED-2-LSG_T676_SMALLPAD, , P-LCC-4_SMALLPAD, , LSG T676-, , , , , , 
LED2, m_opto, TOPLED-2-LSG_T676_SMALLPAD, , P-LCC-4_SMALLPAD, , LSG T676-, , , , , , 
Q1, m_transistor, DMG1013UW, DMG1013UW, SOT323, diodes:DMG1013UW;, DMG1013UW, , , , , , 
Q2, zetex, PNPSOT223, ZXTP19060CG, SOT223, , ZXTP19060CG, , , , , , 
Q3, zetex, NPNSOT23, MMBT4124, SOT-23, , MMBT4124, , , , , , 
R1, rcl, R-US_R0603, 33, R0603, , , , , , , , 
R2, rcl, R-US_R0603, 1k, R0603, , , , , , , , 
R3, rcl, R-US_R0603, 10k, R0603, , , , , , , , 
R4, rcl, R-US_R0603, 10k, R0603, , , , , , , , 
R5, rcl, R-US_R0603, 604, R0603, , , , , , , , 
R6, rcl, R-US_R0603, 300k, R0603, , , , , , , , 
R7, rcl, R-US_R0603, 100k, R0603, , , , , , , , 
R8, rcl, R-US_R0603, 10k, R0603, , , , , , , , 
R9, rcl, R-US_R0603, 1k, R0603, , , , , , , , 
R10, rcl, R-US_R1206, 0R2, R1206, , PT1206FR-070R2L, , , , , , 
R11, rcl, R-US_R0603, 178k, R0603, , , , , , , , 
R12, rcl, R-US_R0603, 107k, R0603, , , , , , , , 
R20, rcl, R-US_R0603, 62R, R0603, , , , , , , , 
R21, rcl, R-US_R0603, 62R, R0603, , , , , , , , 
R22, rcl, R-US_R0603, 62R, R0603, , , , , , , , 
R23, rcl, R-US_R0603, 62R, R0603, , , , , , , , 
R30, rcl, R-US_R0603, 33R, R0603, , , , , , , , 
R31, rcl, R-US_R0603, 33R, R0603, , , , , , , , 
RX, testpad, TPTP14R, TPTP14R, TP14R, , , , , , , , 
SW1, m_switch-mechanical, PANASONIC-EVQP2, Power, PANASONIC_EVQP2_TACT-SWITCH, , EVQ-P2H02B, , , , , , 
SW2, m_switch-mechanical, PANASONIC-EVQP2, Mark, PANASONIC_EVQP2_TACT-SWITCH, , EVQ-P2H02B, , , , , , 
TX, testpad, TPTP14R, TPTP14R, TP14R, , , , , , , , 
X1, con-hirose, MINI-USB-UX60-MB-5ST, MINI-USB-UX60-MB-5ST, UX60-MB-5ST, , UX60-MB-5S8, , , , , , 
X5, con-molex, 53047-04, PDI, 53047-04, , , , , , , , 
XT20, m_misc, ABS10-32.768KHZ-9-T, ABS10ABS10-32.768KHZ-9-T, ABS10_SMD_CRYSTAL, , ABS10-32.768KHZ-9-T, , , , , , 
XT30, m_misc, ABMM-XTAL, 12MEG, XTAL-5.2X7.2, , ABMM-12.000MHZ-B2-T, , , , , , 
